country_id,IMPORTANCE,REQ_SUCCESS_RATE,DIVINE_REQ_SUCCESS_RATE,REQ_SUCCESS,SCALER_REQ_SUCCESS_DRIFT,REQ_SUM,SCALER_REQ_SUM_DRIFT,DIVINE_REQ_SUCCESS,DIVINE_REQ_SUM,REQ_SUCCESS_RATE_DRIFT,REQ_SUCCESS_RATE_DRIFT_FLAG,COUNT,WARN_TIME,IS_REAL_ALARM
14,89,93.76,98.99,3468.0,0.22369222792948237,3699.0,0.14727184305826,3321.0,3355.0,5.23,0.0,1,0,1
12,99,97.68,97.35,20725.0,0.24057820211500439,21217.0,0.14717331261757785,18743.0,19254.0,0.33,1.0,1,0,0
5,95,99.59,99.34,4388.0,0.26925215623464716,4406.0,0.16501841519379679,3626.0,3650.0,0.25,1.0,1,0,0
13,97,78.91,91.35,11368.0,0.226113616746973,14406.0,0.1670490954545285,10795.0,11817.0,12.44,0.0,1,1,1
13,97,96.78,100.0,7248.0,0.1869374299369518,7489.0,0.12407526951427768,7961.0,7754.0,3.22,0.0,1,18,0
21,98,99.39,100.0,259822.0,0.28487068175040053,261429.0,0.18007365957386753,205066.0,201743.0,0.61,0.0,1,0,0
26,97,96.95,95.99,28827.0,0.04351909125446839,29735.0,0.025015139520840498,74249.0,77838.0,0.96,1.0,1,2,1
12,99,98.33,98.86,21674.0,0.24745855399755232,22042.0,0.15309122377656556,19167.0,19389.0,0.53,0.0,1,4,0
12,99,98.32,98.76,21908.0,0.24575167566842607,22282.0,0.151869930420179,19481.0,19725.0,0.44,0.0,1,5,0
12,99,74.57,94.88,6393.0,0.20851859318164387,8573.0,0.12665108227633887,6464.0,8739.0,20.31,0.0,3,15,1
21,98,90.8,96.09,191319.0,0.20955993818027763,210699.0,0.12821865564559803,192705.0,212775.0,5.29,0.0,3,15,1
13,97,79.92,90.44,5701.0,0.20820392888911946,7133.0,0.13189614784587145,5771.0,7049.0,10.52,0.0,3,15,1
4,95,99.98,99.85,12484.0,0.2798606073459823,12487.0,0.17181911779151013,9997.0,10012.0,0.13,1.0,1,0,0
1,96,78.46,94.08,9210.0,0.2033195947290364,11739.0,0.13975534723818067,9494.0,11093.0,15.62,0.0,1,4,1
20,99,92.56,90.29,9137.0,0.29921150870791957,9871.0,0.178536847241871,6926.0,7671.0,2.27,1.0,1,0,1
20,99,77.24,82.28,4681.0,0.24306186354958417,6060.0,0.16169501105824427,4199.0,5103.0,5.04,0.0,4,0,1
12,99,74.99,94.88,6333.0,0.1704193084531363,8445.0,0.1233443776855079,7448.0,8783.0,19.89,0.0,4,7,1
21,98,90.56,96.09,188903.0,0.19462121707053762,208588.0,0.12819409159039727,201300.0,210674.0,5.53,0.0,4,6,1
13,97,79.98,90.44,6330.0,0.20045946000342316,7914.0,0.1304982199043665,6596.0,7885.0,10.46,0.0,4,6,1
12,99,99.66,100.0,9246.0,0.2579232802180745,9278.0,0.159445929117001,7910.0,7901.0,0.34,0.0,1,0,0
