ds,y,add_1,add_2,add_3
2020-06-11 09:30:00,1323582.0,3,0,0
2020-06-11 09:45:00,1325940.0,3,0,0
2020-06-11 10:00:00,1328119.0,3,0,0
2020-06-11 10:15:00,1329874.0,3,0,0
2020-06-11 10:30:00,1331381.0,3,0,0
2020-06-11 10:45:00,1332696.0,3,0,0
2020-06-11 11:00:00,1333996.0,3,0,0
2020-06-11 11:15:00,1334965.0,3,0,0
2020-06-11 11:30:00,1336192.0,3,0,0
2020-06-11 11:45:00,1336997.0,3,0,0
2020-06-11 12:00:00,1338852.0,3,0,0
2020-06-11 12:15:00,1340705.0,3,0,0
2020-06-11 12:30:00,1343746.0,3,0,0
2020-06-11 12:45:00,1349293.0,3,0,0
2020-06-11 13:00:00,1359718.0,3,0,0
2020-06-11 13:15:00,1369725.0,3,0,0
2020-06-11 13:30:00,1376661.0,3,0,0
2020-06-11 13:45:00,1378870.0,3,0,0
2020-06-11 14:00:00,1379611.0,3,0,0
2020-06-11 14:15:00,1380019.0,3,0,0
2020-06-11 14:30:00,1380439.0,3,0,0
2020-06-11 14:45:00,1380220.0,3,0,0
2020-06-11 15:00:00,1380599.0,3,0,0
2020-06-11 15:15:00,1380589.0,3,0,0
2020-06-11 15:30:00,1380974.0,3,0,0
2020-06-11 15:45:00,1381212.0,3,0,0
2020-06-11 16:00:00,1381578.0,3,0,0
2020-06-11 16:15:00,1382047.0,3,0,0
2020-06-11 16:30:00,1382546.0,3,0,0
2020-06-11 16:45:00,1383121.0,3,0,0
2020-06-11 17:00:00,1384257.0,3,0,0
2020-06-11 17:15:00,1384770.0,3,0,0
2020-06-11 17:30:00,1385634.0,3,0,0
2020-06-11 17:45:00,1386228.0,3,0,0
2020-06-11 18:00:00,1386811.0,3,0,0
2020-06-11 18:15:00,1386770.0,3,0,0
2020-06-11 18:30:00,1387193.0,3,0,0
2020-06-11 18:45:00,1387033.0,3,0,0
2020-06-11 19:00:00,1386746.0,3,0,0
2020-06-11 19:15:00,1386657.0,3,0,0
2020-06-11 19:30:00,1386429.0,3,0,0
2020-06-11 19:45:00,1385852.0,3,0,0
2020-06-11 20:00:00,1385649.0,3,0,0
2020-06-11 20:15:00,1384871.0,3,0,0
2020-06-11 20:30:00,1384108.0,3,0,0
2020-06-11 20:45:00,1382958.0,3,0,0
2020-06-11 21:00:00,1381518.0,3,0,0
2020-06-11 21:15:00,1379392.0,3,0,0
2020-06-11 21:30:00,1376481.0,3,0,0
2020-06-11 21:45:00,1373066.0,3,0,0
2020-06-11 22:00:00,1369137.0,3,0,0
2020-06-11 22:15:00,1364067.0,3,0,0
2020-06-11 22:30:00,1356651.0,3,0,0
2020-06-11 22:45:00,1349009.0,3,0,0
2020-06-11 23:00:00,1340374.0,3,0,0
2020-06-11 23:15:00,1331994.0,3,0,0
2020-06-11 23:30:00,1323650.0,3,0,0
2020-06-11 23:45:00,1315586.0,3,0,0
2020-06-12 00:00:00,1307536.0,4,0,0
2020-06-12 00:15:00,1300293.0,4,0,0
2020-06-12 00:30:00,1293450.0,4,0,0
2020-06-12 00:45:00,1287757.0,4,0,0
2020-06-12 01:00:00,1282306.0,4,0,0
2020-06-12 01:15:00,1278049.0,4,0,0
2020-06-12 01:30:00,1274394.0,4,0,0
2020-06-12 01:45:00,1271585.0,4,0,0
2020-06-12 02:00:00,1268092.0,4,0,0
2020-06-12 02:15:00,1265947.0,4,0,0
2020-06-12 02:30:00,1264162.0,4,0,0
2020-06-12 02:45:00,1262767.0,4,0,0
2020-06-12 03:00:00,1261319.0,4,0,0
2020-06-12 03:15:00,1260576.0,4,0,0
2020-06-12 03:30:00,1259800.0,4,0,0
2020-06-12 03:45:00,1259163.0,4,0,0
2020-06-12 04:00:00,1258689.0,4,0,0
2020-06-12 04:15:00,1258507.0,4,0,0
2020-06-12 04:30:00,1258664.0,4,0,0
2020-06-12 04:45:00,1259379.0,4,0,0
2020-06-12 05:00:00,1260155.0,4,0,0
2020-06-12 05:15:00,1262249.0,4,0,0
2020-06-12 05:30:00,1265581.0,4,0,0
2020-06-12 05:45:00,1270999.0,4,0,0
2020-06-12 06:00:00,1277234.0,4,0,0
2020-06-12 06:15:00,1284213.0,4,0,0
2020-06-12 06:30:00,1292029.0,4,0,0
2020-06-12 06:45:00,1300626.0,4,0,0
2020-06-12 07:00:00,1308646.0,4,0,0
2020-06-12 07:15:00,1312591.0,4,0,0
2020-06-12 07:30:00,1310003.0,4,0,0
2020-06-12 07:45:00,1304707.0,4,0,0
2020-06-12 08:00:00,1303773.0,4,0,0
2020-06-12 08:15:00,1307091.0,4,0,0
2020-06-12 08:30:00,1311110.0,4,0,0
2020-06-12 08:45:00,1315366.0,4,0,0
2020-06-12 09:00:00,1319660.0,4,0,0
2020-06-12 09:15:00,1322874.0,4,0,0
2020-06-12 09:30:00,1325767.0,4,0,0
2020-06-12 09:45:00,1328124.0,4,0,0
2020-06-12 10:00:00,1330375.0,4,0,0
2020-06-12 10:15:00,1332346.0,4,0,0
2020-06-12 10:30:00,1333501.0,4,0,0
2020-06-12 10:45:00,1334836.0,4,0,0
2020-06-12 11:00:00,1336080.0,4,0,0
2020-06-12 11:15:00,1337323.0,4,0,0
2020-06-12 11:30:00,1337410.0,4,0,0
2020-06-12 11:45:00,1338535.0,4,0,0
2020-06-12 12:00:00,1339966.0,4,0,0
2020-06-12 12:15:00,1341776.0,4,0,0
2020-06-12 12:30:00,1344715.0,4,0,0
2020-06-12 12:45:00,1350514.0,4,0,0
2020-06-12 13:00:00,1360696.0,4,0,0
2020-06-12 13:15:00,1370680.0,4,0,0
2020-06-12 13:30:00,1377780.0,4,0,0
2020-06-12 13:45:00,1379937.0,4,0,0
2020-06-12 14:00:00,1380991.0,4,0,0
2020-06-12 14:15:00,1381504.0,4,0,0
2020-06-12 14:30:00,1382165.0,4,0,0
2020-06-12 14:45:00,1382303.0,4,0,0
2020-06-12 15:00:00,1382650.0,4,0,0
2020-06-12 15:15:00,1382579.0,4,0,0
2020-06-12 15:30:00,1383104.0,4,0,0
2020-06-12 15:45:00,1383193.0,4,0,0
2020-06-12 16:00:00,1383512.0,4,0,0
2020-06-12 16:15:00,1383886.0,4,0,0
2020-06-12 16:30:00,1384622.0,4,0,0
2020-06-12 16:45:00,1384899.0,4,0,0
2020-06-12 17:00:00,1386030.0,4,0,0
2020-06-12 17:15:00,1386697.0,4,0,0
2020-06-12 17:30:00,1387462.0,4,0,0
2020-06-12 17:45:00,1387653.0,4,0,0
2020-06-12 18:00:00,1388313.0,4,0,0
2020-06-12 18:15:00,1389054.0,4,0,0
2020-06-12 18:30:00,1389348.0,4,0,0
2020-06-12 18:45:00,1389310.0,4,0,0
2020-06-12 19:00:00,1389198.0,4,0,0
2020-06-12 19:15:00,1389071.0,4,0,0
2020-06-12 19:30:00,1388811.0,4,0,0
2020-06-12 19:45:00,1388461.0,4,0,0
2020-06-12 20:00:00,1388049.0,4,0,0
2020-06-12 20:15:00,1387649.0,4,0,0
2020-06-12 20:30:00,1386662.0,4,0,0
2020-06-12 20:45:00,1385430.0,4,0,0
2020-06-12 21:00:00,1384110.0,4,0,0
2020-06-12 21:15:00,1382034.0,4,0,0
2020-06-12 21:30:00,1379498.0,4,0,0
2020-06-12 21:45:00,1376698.0,4,0,0
2020-06-12 22:00:00,1372957.0,4,0,0
2020-06-12 22:15:00,1368195.0,4,0,0
2020-06-12 22:30:00,1361788.0,4,0,0
2020-06-12 22:45:00,1355049.0,4,0,0
2020-06-12 23:00:00,1347207.0,4,0,0
2020-06-12 23:15:00,1339598.0,4,0,0
2020-06-12 23:30:00,1331584.0,4,0,0
2020-06-12 23:45:00,1323368.0,4,0,0
2020-06-13 00:00:00,1314964.0,5,0,0
2020-06-13 00:15:00,1307793.0,5,0,0
2020-06-13 00:30:00,1300856.0,5,0,0
2020-06-13 00:45:00,1294293.0,5,0,0
2020-06-13 01:00:00,1288242.0,5,0,0
2020-06-13 01:15:00,1283493.0,5,0,0
2020-06-13 01:30:00,1278980.0,5,0,0
2020-06-13 01:45:00,1275359.0,5,0,0
2020-06-13 02:00:00,1271556.0,5,0,0
2020-06-13 02:15:00,1268931.0,5,0,0
2020-06-13 02:30:00,1266509.0,5,0,0
2020-06-13 02:45:00,1264563.0,5,0,0
2020-06-13 03:00:00,1263097.0,5,0,0
2020-06-13 03:15:00,1261900.0,5,0,0
2020-06-13 03:30:00,1260754.0,5,0,0
2020-06-13 03:45:00,1259979.0,5,0,0
2020-06-13 04:00:00,1259201.0,5,0,0
2020-06-13 04:15:00,1258811.0,5,0,0
2020-06-13 04:30:00,1258657.0,5,0,0
2020-06-13 04:45:00,1259181.0,5,0,0
2020-06-13 05:00:00,1259623.0,5,0,0
2020-06-13 05:15:00,1261212.0,5,0,0
2020-06-13 05:30:00,1263618.0,5,0,0
2020-06-13 05:45:00,1267692.0,5,0,0
2020-06-13 06:00:00,1272181.0,5,0,0
2020-06-13 06:15:00,1276903.0,5,0,0
